"",".","confidence","matchType","synonym","usageKey","scientificName","rank","status","kingdom","phylum","order","family","genus","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","class","acceptedUsageKey","species","speciesKey"
"11","F. Formicidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Citellus leucurus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Malus malus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Malus",94,"EXACT",FALSE,3001068,"Malus Mill.","GENUS","ACCEPTED","Plantae","Tracheophyta","Rosales","Rosaceae","Malus",6,7707728,220,691,5015,3001068,"Magnoliopsida",NA,NA,NA
"15","Malus",94,"HIGHERRANK",FALSE,3001068,"Malus Mill.","GENUS","ACCEPTED","Plantae","Tracheophyta","Rosales","Rosaceae","Malus",6,7707728,220,691,5015,3001068,"Magnoliopsida",NA,NA,NA
"16","Arachnida",94,"EXACT",FALSE,367,"Arachnida","CLASS","ACCEPTED","Animalia","Arthropoda",NA,NA,NA,1,54,367,NA,NA,NA,"Arachnida",NA,NA,NA
"17","Eublepharidae",94,"EXACT",FALSE,4287502,"Eublepharidae","FAMILY","ACCEPTED","Animalia","Chordata","Squamata","Eublepharidae",NA,1,44,358,715,4287502,NA,"Reptilia",NA,NA,NA
"18","Aralia pubescens",98,"EXACT",TRUE,3036963,"Aralia pubescens DC.","SPECIES","SYNONYM","Plantae","Tracheophyta","Apiales","Araliaceae","Aralia",6,7707728,220,1351,8800,3036858,"Magnoliopsida",3036960,"Aralia humilis",3036960
"19","Aralia humilis",98,"EXACT",FALSE,3036960,"Aralia humilis Cav.","SPECIES","ACCEPTED","Plantae","Tracheophyta","Apiales","Araliaceae","Aralia",6,7707728,220,1351,8800,3036858,"Magnoliopsida",NA,"Aralia humilis",3036960
"20","California meadow vole",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Arthropods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Arthorpoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Juniperus ashei",98,"EXACT",FALSE,2684487,"Juniperus ashei J.T.Buchholz","SPECIES","ACCEPTED","Plantae","Tracheophyta","Pinales","Cupressaceae","Juniperus",6,7707728,194,640,8144,2684359,"Pinopsida",NA,"Juniperus ashei",2684487
"24","Castela peninsularis",98,"EXACT",FALSE,3708949,"Castela peninsularis Rose","SPECIES","ACCEPTED","Plantae","Tracheophyta","Sapindales","Simaroubaceae","Castela",6,7707728,220,933,2395,3190662,"Magnoliopsida",NA,"Castela peninsularis",3708949
"25","Dolichovespula",94,"EXACT",FALSE,1311794,"Dolichovespula Rohwer, 1916","GENUS","ACCEPTED","Animalia","Arthropoda","Hymenoptera","Vespidae","Dolichovespula",1,54,216,1457,4490,1311794,"Insecta",NA,NA,NA
"26","Mahonia sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Apidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Hymenoptera Apidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Soricomorpha C. parva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Cryptotis parva",98,"EXACT",FALSE,5219509,"Cryptotis parva (Say, 1823)","SPECIES","ACCEPTED","Animalia","Chordata","Soricomorpha","Soricidae","Cryptotis",1,44,359,803,5534,2435817,"Mammalia",NA,"Cryptotis parva",5219509
"31","Apoidea spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Coleoptera",94,"EXACT",FALSE,1470,"Coleoptera","ORDER","ACCEPTED","Animalia","Arthropoda","Coleoptera",NA,NA,1,54,216,1470,NA,NA,"Insecta",NA,NA,NA
"33","Coleoptera",94,"HIGHERRANK",FALSE,1470,"Coleoptera","ORDER","ACCEPTED","Animalia","Arthropoda","Coleoptera",NA,NA,1,54,216,1470,NA,NA,"Insecta",NA,NA,NA
"34","Coleoptera",94,"EXACT",FALSE,1470,"Coleoptera","ORDER","ACCEPTED","Animalia","Arthropoda","Coleoptera",NA,NA,1,54,216,1470,NA,NA,"Insecta",NA,NA,NA
"35","Coleoptera",94,"EXACT",FALSE,1470,"Coleoptera","ORDER","ACCEPTED","Animalia","Arthropoda","Coleoptera",NA,NA,1,54,216,1470,NA,NA,"Insecta",NA,NA,NA
"36","Coleoptera",94,"EXACT",FALSE,1470,"Coleoptera","ORDER","ACCEPTED","Animalia","Arthropoda","Coleoptera",NA,NA,1,54,216,1470,NA,NA,"Insecta",NA,NA,NA
"37","Coleoptera",94,"EXACT",FALSE,1470,"Coleoptera","ORDER","ACCEPTED","Animalia","Arthropoda","Coleoptera",NA,NA,1,54,216,1470,NA,NA,"Insecta",NA,NA,NA
"38","Coleoptera",94,"EXACT",FALSE,1470,"Coleoptera","ORDER","ACCEPTED","Animalia","Arthropoda","Coleoptera",NA,NA,1,54,216,1470,NA,NA,"Insecta",NA,NA,NA
"39","Coleoptera",94,"EXACT",FALSE,1470,"Coleoptera","ORDER","ACCEPTED","Animalia","Arthropoda","Coleoptera",NA,NA,1,54,216,1470,NA,NA,"Insecta",NA,NA,NA
"40","Coleoptera",94,"EXACT",FALSE,1470,"Coleoptera","ORDER","ACCEPTED","Animalia","Arthropoda","Coleoptera",NA,NA,1,54,216,1470,NA,NA,"Insecta",NA,NA,NA
"41","Coleoptera",94,"EXACT",FALSE,1470,"Coleoptera","ORDER","ACCEPTED","Animalia","Arthropoda","Coleoptera",NA,NA,1,54,216,1470,NA,NA,"Insecta",NA,NA,NA
"42","Coleoptera",94,"EXACT",FALSE,1470,"Coleoptera","ORDER","ACCEPTED","Animalia","Arthropoda","Coleoptera",NA,NA,1,54,216,1470,NA,NA,"Insecta",NA,NA,NA
"43","Coleoptera",94,"EXACT",FALSE,1470,"Coleoptera","ORDER","ACCEPTED","Animalia","Arthropoda","Coleoptera",NA,NA,1,54,216,1470,NA,NA,"Insecta",NA,NA,NA
"44","Coleoptera",94,"EXACT",FALSE,1470,"Coleoptera","ORDER","ACCEPTED","Animalia","Arthropoda","Coleoptera",NA,NA,1,54,216,1470,NA,NA,"Insecta",NA,NA,NA
"45","Coleoptera",94,"EXACT",FALSE,1470,"Coleoptera","ORDER","ACCEPTED","Animalia","Arthropoda","Coleoptera",NA,NA,1,54,216,1470,NA,NA,"Insecta",NA,NA,NA
"46","Coleoptera",94,"EXACT",FALSE,1470,"Coleoptera","ORDER","ACCEPTED","Animalia","Arthropoda","Coleoptera",NA,NA,1,54,216,1470,NA,NA,"Insecta",NA,NA,NA
"47","Coleoptera",94,"EXACT",FALSE,1470,"Coleoptera","ORDER","ACCEPTED","Animalia","Arthropoda","Coleoptera",NA,NA,1,54,216,1470,NA,NA,"Insecta",NA,NA,NA
"48","Scaphinotus",94,"EXACT",FALSE,8190085,"Scaphinotus Dejean, 1826","GENUS","ACCEPTED","Animalia","Arthropoda","Coleoptera","Carabidae","Scaphinotus",1,54,216,1470,3792,8190085,"Insecta",NA,NA,NA
"49","Coleopterans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Bidens sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Bidens serrulata",97,"EXACT",FALSE,5391973,"Bidens serrulata Sch.Bip.","SPECIES","ACCEPTED","Plantae","Tracheophyta","Asterales","Asteraceae","Bidens",6,7707728,220,414,3065,3105856,"Magnoliopsida",NA,"Bidens serrulata",5391973
"52","Bursera spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Burceraceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Aces macrophyllum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Aves",94,"EXACT",FALSE,212,"Aves","CLASS","ACCEPTED","Animalia","Chordata",NA,NA,NA,1,44,212,NA,NA,NA,"Aves",NA,NA,NA
"56","Condalia globosa",98,"EXACT",FALSE,5372436,"Condalia globosa I.M.Johnst.","SPECIES","ACCEPTED","Plantae","Tracheophyta","Rosales","Rhamnaceae","Condalia",6,7707728,220,691,2407,3039287,"Magnoliopsida",NA,"Condalia globosa",5372436
"57","Prunus capuli",94,"FUZZY",TRUE,3021887,"Prunus capuli Cav. ex Spreng.","SPECIES","SYNONYM","Plantae","Tracheophyta","Rosales","Rosaceae","Prunus",6,7707728,220,691,5015,3020559,"Magnoliopsida",3021859,"Prunus serotina",3021850
"58","Prunus capuli",97,"EXACT",TRUE,3021887,"Prunus capuli Cav. ex Spreng.","SPECIES","SYNONYM","Plantae","Tracheophyta","Rosales","Rosaceae","Prunus",6,7707728,220,691,5015,3020559,"Magnoliopsida",3021859,"Prunus serotina",3021850
"59","Lepus insularis",98,"EXACT",FALSE,2436718,"Lepus insularis W.Bryant, 1891","SPECIES","ACCEPTED","Animalia","Chordata","Lagomorpha","Leporidae","Lepus",1,44,359,785,9379,2436691,"Mammalia",NA,"Lepus insularis",2436718
"60","black nightshade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Vireo atricapillus",98,"EXACT",TRUE,2487439,"Vireo atricapillus Woodhouse, 1852","SPECIES","SYNONYM","Animalia","Chordata","Passeriformes","Vireonidae","Vireo",1,44,212,729,9358,2487406,"Aves",2487438,"Vireo atricapilla",2487438
"62","Podiceps nigricallis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Lepus californicus",98,"EXACT",FALSE,2436801,"Lepus californicus Gray, 1837","SPECIES","ACCEPTED","Animalia","Chordata","Lagomorpha","Leporidae","Lepus",1,44,359,785,9379,2436691,"Mammalia",NA,"Lepus californicus",2436801
"64","Dendroica nigrescens",98,"EXACT",TRUE,2489929,"Dendroica nigrescens (J.K.Townsend, 1837)","SPECIES","SYNONYM","Animalia","Chordata","Passeriformes","Parulidae","Setophaga",1,44,212,729,5263,2489984,"Aves",7341770,"Setophaga nigrescens",7341770
"65","Amphispiza belineata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Pithecellobium",94,"EXACT",FALSE,2962745,"Pithecellobium Mart.","GENUS","ACCEPTED","Plantae","Tracheophyta","Fabales","Fabaceae","Pithecellobium",6,7707728,220,1370,5386,2962745,"Magnoliopsida",NA,NA,NA
"67","Rubus",94,"EXACT",FALSE,2988638,"Rubus L.","GENUS","ACCEPTED","Plantae","Tracheophyta","Rosales","Rosaceae","Rubus",6,7707728,220,691,5015,2988638,"Magnoliopsida",NA,NA,NA
"68","Rubus",94,"HIGHERRANK",FALSE,2988638,"Rubus L.","GENUS","ACCEPTED","Plantae","Tracheophyta","Rosales","Rosaceae","Rubus",6,7707728,220,691,5015,2988638,"Magnoliopsida",NA,NA,NA
"69","Rubus",94,"EXACT",FALSE,2988638,"Rubus L.","GENUS","ACCEPTED","Plantae","Tracheophyta","Rosales","Rosaceae","Rubus",6,7707728,220,691,5015,2988638,"Magnoliopsida",NA,NA,NA
"70","Rubus sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Thomomys bottae",98,"EXACT",FALSE,2439385,"Thomomys bottae (Eydoux & Gervais, 1836)","SPECIES","ACCEPTED","Animalia","Chordata","Rodentia","Geomyidae","Thomomys",1,44,359,1459,9437,2439381,"Mammalia",NA,"Thomomys bottae",2439385
"72","Encelia farinosa",97,"EXACT",FALSE,3118746,"Encelia farinosa A.Gray ex Torr.","SPECIES","ACCEPTED","Plantae","Tracheophyta","Asterales","Asteraceae","Encelia",6,7707728,220,414,3065,3118743,"Magnoliopsida",NA,"Encelia farinosa",3118746
"73","Molothrus aeneus",98,"EXACT",FALSE,2484404,"Molothrus aeneus (Wagler, 1829)","SPECIES","ACCEPTED","Animalia","Chordata","Passeriformes","Icteridae","Molothrus",1,44,212,729,6176,2484385,"Aves",NA,"Molothrus aeneus",2484404
"74","Paseriformes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Fringillidae",94,"EXACT",FALSE,5242,"Fringillidae","FAMILY","ACCEPTED","Animalia","Chordata","Passeriformes","Fringillidae",NA,1,44,212,729,5242,NA,"Aves",NA,NA,NA
"76","Lycosidae",94,"EXACT",FALSE,3417,"Lycosidae","FAMILY","ACCEPTED","Animalia","Arthropoda","Araneae","Lycosidae",NA,1,54,367,1496,3417,NA,"Arachnida",NA,NA,NA
"77","Teraphosidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Buthidae",94,"EXACT",FALSE,5848,"Buthidae","FAMILY","ACCEPTED","Animalia","Arthropoda","Scorpiones","Buthidae",NA,1,54,367,872,5848,NA,"Arachnida",NA,NA,NA
"79","Julidae",94,"EXACT",FALSE,4012,"Julidae","FAMILY","ACCEPTED","Animalia","Arthropoda","Julida","Julidae",NA,1,54,361,1019,4012,NA,"Diplopoda",NA,NA,NA
"80","Stylommatophora",94,"EXACT",FALSE,1456,"Stylommatophora","ORDER","ACCEPTED","Animalia","Mollusca","Stylommatophora",NA,NA,1,52,225,1456,NA,NA,"Gastropoda",NA,NA,NA
"81","Rattus norvegicus",98,"EXACT",FALSE,2439261,"Rattus norvegicus (Berkenhout, 1769)","SPECIES","ACCEPTED","Animalia","Chordata","Rodentia","Muridae","Rattus",1,44,359,1459,5510,2439223,"Mammalia",NA,"Rattus norvegicus",2439261
"82","Peromyscus boylii",98,"EXACT",FALSE,2438038,"Peromyscus boylii (Baird, 1855)","SPECIES","ACCEPTED","Animalia","Chordata","Rodentia","Cricetidae","Peromyscus",1,44,359,1459,3240723,2437961,"Mammalia",NA,"Peromyscus boylii",2438038
"83","Sylvilagus bachmani",98,"EXACT",FALSE,2436846,"Sylvilagus bachmani (Waterhouse, 1839)","SPECIES","ACCEPTED","Animalia","Chordata","Lagomorpha","Leporidae","Sylvilagus",1,44,359,785,9379,2436839,"Mammalia",NA,"Sylvilagus bachmani",2436846
"84","Neotoma bryanti",98,"EXACT",FALSE,2438451,"Neotoma bryanti Merriam, 1887","SPECIES","ACCEPTED","Animalia","Chordata","Rodentia","Cricetidae","Neotoma",1,44,359,1459,3240723,2438433,"Mammalia",NA,"Neotoma bryanti",2438451
"85","Melopsittacus undulatus",98,"EXACT",FALSE,2479798,"Melopsittacus undulatus (Shaw, 1805)","SPECIES","ACCEPTED","Animalia","Chordata","Psittaciformes","Psittacidae","Melopsittacus",1,44,212,1445,9340,2479797,"Aves",NA,"Melopsittacus undulatus",2479798
"86","Bombus",94,"EXACT",FALSE,1340278,"Bombus Latreille, 1802","GENUS","ACCEPTED","Animalia","Arthropoda","Hymenoptera","Apidae","Bombus",1,54,216,1457,4334,1340278,"Insecta",NA,NA,NA
"87","Hyptis sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Lepidoptera",94,"EXACT",FALSE,797,"Lepidoptera","ORDER","ACCEPTED","Animalia","Arthropoda","Lepidoptera",NA,NA,1,54,216,797,NA,NA,"Insecta",NA,NA,NA
"89","Lepidoptera",94,"EXACT",FALSE,797,"Lepidoptera","ORDER","ACCEPTED","Animalia","Arthropoda","Lepidoptera",NA,NA,1,54,216,797,NA,NA,"Insecta",NA,NA,NA
"90","Lepidoptera (Larvas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Lepidoptero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","butterflies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","butterfly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Cataceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Cactacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Cactaceae",96,"EXACT",FALSE,2519,"Cactaceae","FAMILY","ACCEPTED","Plantae","Tracheophyta","Caryophyllales","Cactaceae",NA,6,7707728,220,422,2519,NA,"Magnoliopsida",NA,NA,NA
"97","Peromyscus eremicus",98,"EXACT",FALSE,2437981,"Peromyscus eremicus (Baird, 1857)","SPECIES","ACCEPTED","Animalia","Chordata","Rodentia","Cricetidae","Peromyscus",1,44,359,1459,3240723,2437961,"Mammalia",NA,"Peromyscus eremicus",2437981
"98","Campylorhynchus brunneicapillus",98,"EXACT",FALSE,5231474,"Campylorhynchus brunneicapillus (Lafresnaye, 1835)","SPECIES","ACCEPTED","Animalia","Chordata","Passeriformes","Troglodytidae","Campylorhynchus",1,44,212,729,9355,2493929,"Aves",NA,"Campylorhynchus brunneicapillus",5231474
"99","Trichoptera spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Vitus californicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Spermophilus beecheyi",98,"EXACT",TRUE,2437293,"Spermophilus beecheyi (Richardson, 1829)","SPECIES","SYNONYM","Animalia","Chordata","Rodentia","Sciuridae","Otospermophilus",1,44,359,1459,9456,4827939,"Mammalia",8080937,"Otospermophilus beecheyi",8080937
"102","Iguanidae",94,"EXACT",FALSE,6935,"Iguanidae","FAMILY","ACCEPTED","Animalia","Chordata","Squamata","Iguanidae",NA,1,44,358,715,6935,NA,"Reptilia",NA,NA,NA
"103","Elgaria (skin)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Taricha torosa",98,"EXACT",FALSE,2431913,"Taricha torosa (Rathke, 1833)","SPECIES","ACCEPTED","Animalia","Chordata","Caudata","Salamandridae","Taricha",1,44,131,953,6750,2431912,"Amphibia",NA,"Taricha torosa",2431913
"105","Tropidischia",94,"EXACT",FALSE,1729550,"Tropidischia Scudder, 1862","GENUS","ACCEPTED","Animalia","Arthropoda","Orthoptera","Rhaphidophoridae","Tropidischia",1,54,216,1458,8223,1729550,"Insecta",NA,NA,NA
"106","Phoenix canariensis",97,"EXACT",FALSE,7445284,"Phoenix canariensis H.Wildpret","SPECIES","ACCEPTED","Plantae","Tracheophyta","Arecales","Arecaceae","Phoenix",6,7707728,196,552,7681,2732076,"Liliopsida",NA,"Phoenix canariensis",7445284
"107","Canyon Mouse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Melozone fusca",98,"EXACT",FALSE,7341622,"Melozone fusca (Swainson, 1827)","SPECIES","ACCEPTED","Animalia","Chordata","Passeriformes","Emberizidae","Melozone",1,44,212,729,9608,2491170,"Aves",NA,"Melozone fusca",7341622
"109","Camponotus",92,"EXACT",FALSE,1312361,"Camponotus Mayr, 1861","GENUS","ACCEPTED","Animalia","Arthropoda","Hymenoptera","Formicidae","Camponotus",1,54,216,1457,4342,1312361,"Insecta",NA,NA,NA
"110","cascara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Tyranus vociferans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Mimosa biuncfera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Chilopoda",94,"EXACT",FALSE,360,"Chilopoda","CLASS","ACCEPTED","Animalia","Arthropoda",NA,NA,NA,1,54,360,NA,NA,NA,"Chilopoda",NA,NA,NA
"114","Agave harvariana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Prunus virginiana",97,"EXACT",FALSE,3022668,"Prunus virginiana L.","SPECIES","ACCEPTED","Plantae","Tracheophyta","Rosales","Rosaceae","Prunus",6,7707728,220,691,5015,3020559,"Magnoliopsida",NA,"Prunus virginiana",3022668
"116","Coleoptera Elataridae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Aneides ferrus/vagrans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Isoptera",92,"EXACT",FALSE,11374070,"Isoptera Scheffer","GENUS","ACCEPTED","Plantae","Tracheophyta","Malvales","Dipterocarpaceae","Isoptera",6,7707728,220,941,6645,11374070,"Magnoliopsida",NA,NA,NA
"119","Blattodea",94,"EXACT",FALSE,800,"Blattodea","ORDER","ACCEPTED","Animalia","Arthropoda","Blattodea",NA,NA,1,54,216,800,NA,NA,"Insecta",NA,NA,NA
"120","Coelocnemis",94,"EXACT",FALSE,4722784,"Coelocnemis Mannerheim, 1843","GENUS","ACCEPTED","Animalia","Arthropoda","Coleoptera","Tenebrionidae","Coelocnemis",1,54,216,1470,7857,4722784,"Insecta",NA,NA,NA
"121","Sauromalus ater",98,"EXACT",FALSE,2459705,"Sauromalus ater Duméril, 1856","SPECIES","ACCEPTED","Animalia","Chordata","Squamata","Iguanidae","Sauromalus",1,44,358,715,6935,2459704,"Reptilia",NA,"Sauromalus ater",2459705
"122","Uta stanburiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Pinus edulis",98,"EXACT",FALSE,5285796,"Pinus edulis Engelm.","SPECIES","ACCEPTED","Plantae","Tracheophyta","Pinales","Pinaceae","Pinus",6,7707728,194,640,3925,2684241,"Pinopsida",NA,"Pinus edulis",5285796
"124","Dipsosaurus dorsalis",98,"EXACT",FALSE,2459646,"Dipsosaurus dorsalis (Baird & Girard, 1852)","SPECIES","ACCEPTED","Animalia","Chordata","Squamata","Iguanidae","Dipsosaurus",1,44,358,715,6935,2459645,"Reptilia",NA,"Dipsosaurus dorsalis",2459646
"125","Masticophis spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Crotalus spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Urosaurus nigricaudus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Ficus carica",98,"EXACT",FALSE,5361909,"Ficus carica L.","SPECIES","ACCEPTED","Plantae","Tracheophyta","Rosales","Moraceae","Ficus",6,7707728,220,691,6640,2984588,"Magnoliopsida",NA,"Ficus carica",5361909
"129","Sceloporus spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Chilomeiscus punctatissmus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Cenemidophorus spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Petrosaurus thalassinus",98,"EXACT",FALSE,2451126,"Petrosaurus thalassinus (Cope, 1863)","SPECIES","ACCEPTED","Animalia","Chordata","Squamata","Phrynosomatidae","Petrosaurus",1,44,358,715,5016,2451120,"Reptilia",NA,"Petrosaurus thalassinus",2451126
"133","Serpentes",94,"EXACT",FALSE,11205692,"Serpentes","FAMILY","ACCEPTED","Animalia","Chordata","Squamata","Serpentes",NA,1,44,358,715,11205692,NA,"Reptilia",NA,NA,NA
